'OeLin.OrderNo','OeLin.LineItemType','OeLin.RowNum','OeLin.ItemNumber','OeLin.Description','IOS.SellQtyRemain','IOS.SellUnitPrice','Total.RemainingNetWDiscWTax'
'13921','0',6,'.063681','STRAIN RELIEF NYLON .24 - .47  1/2" NPT',7.00000,3.06000,21.42000
'13921','0',5,'.022405','TERMINAL STRIP 10 POLE WAYTEK 47310',4.00000,8.20000,32.80000
'13921','0',4,'.066807','PANEL 6.75 X 6.88',2.00000,14.67000,29.34000
'13921','0',3,'.066806','JUNCTION BOX 8 X 8 X 4',2.00000,151.05000,302.10000
'13921','0',2,'.066803','FEMALE INSERT 24 CONNECTOR',1.00000,44.47000,44.47000
'13921','0',1,'.066802','MALE INSERT 24 CONNECTOR',2.00000,43.00000,86.00000
'13921','0',17,'.064848','STUD 3/8 NC X 3" LG',3.00000,5.55000,16.65000
'13921','0',18,'.066669','WELDMENT AIRLINE-1/2 COUPLER MOUNT',1.00000,139.70000,139.70000
'13921','0',16,'.067266','CONTROLS MOUNT WELDMENT (RADIO CTLS)',1.00000,173.05000,173.05000
'13921','0',15,'.096700','SWITCH MERCURY TILT PLASTIC BODY',3.00000,57.45000,172.35000
'13921','0',19,'.063338','HYDRAULIC TUBE FITTING 3/8 X 3 1/2',2.00000,21.76000,43.52000
'13921','0',28,'.033595','ASSEMBLY LEVELING VALVE LEVER',1.00000,624.62000,624.62000
'13921','0',21,'.096715','WELDMENT MAGNETIC LIGHT MOUNT PLATFORM',2.00000,175.62000,351.24000
'13921','0',20,'.097723','LED PLATFORM LIGHT - MODIFIED',2.00000,207.77000,415.54000
'13921','0',27,'.058200','OUTLET BOX GANG SINGLE 3/4 OUTLETS',3.00000,29.75000,89.25000
'13921','0',26,'.065870','GFI OUTLET 20 AMP  W7899-TRW WHITE',2.00000,57.48000,114.96000
'13921','0',25,'.065065','LIGHTER SOCKET 12 VOLT',2.00000,24.00000,48.00000
'13921','0',24,'.059409','COVER OUTLET GFI VERTICAL WGF100CV',2.00000,21.93000,43.86000
'13921','0',23,'.095555','INTERCOM SLAVE UPDATE-ATKINSON',1.00000,1621.50000,1621.50000
'13921','0',22,'.026690','HEATER 1MP-7.5/15UC  1500W  120V AC',2.00000,345.00000,690.00000
'13921','0',29,'.095723','FLOW AND PRESSURE COMPENSATOR',1.00000,274.45000,274.45000
'13921','0',40,'.063055','CABLE 10-3 SEOOWA  1000 FT CONTINUOUS',50.00000,2.74000,137.00000
'13921','0',39,'.081278','CABLE 18/4 WIRE SJEOOW BLACK',50.00000,0.81000,40.50000
'13921','0',38,'.081129','LEVELING VALVE WIDE 2 SLOT 65-13-276050',1.00000,2250.00000,2250.00000
'13921','0',37,'.040027','FOOT SWITCH 7024K11',1.00000,101.32000,101.32000
'13921','0',36,'.265300','FILTER BASKET 7050-2',1.00000,96.50000,96.50000
'13921','0',35,'.065066','BLANK COVER SINGLE OUTLET',1.00000,3.06000,3.06000
'13921','0',34,'.065067','BLANK COVER DOUBLE OUTLET',1.00000,6.31000,6.31000
'13921','0',33,'.063256','BELL BOX DOUBLE DEEP 3/4 OUTLETS',1.00000,45.80000,45.80000
