Company,PartNum,PartDescription,IUM,PUM,ClassID,ProdCode,CommodityCode,TypeCode,CostMethod,BuyToOrder,UOMClassID,PhantomBOM,NonStock,Type_c,UnitPrice,TrackSerialNum,SNFormat,SNBaseDataType,,,,TrackSerialNum
VUK,02-9449-11-01,Outer Leg Weldment,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,422.9,0,,,,,,
VUK,02-9449-12-01,Bracket Weld,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,39.82,0,,,,,,
VUK,02-9449-21-01,Transit Inner Leg,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,231.68,0,,,,,,
VUK,02-9470-00-04,Proximity Switch Bracket,EA,EA,18,18,8536501110,P,A,0,Count,FALSE,FALSE,Other,30.68,0,,,,,,
VUK,030,Body Mounting Brkt,EA,EA,37,37,8431390000,P,A,0,Count,FALSE,FALSE,Other,3.92,0,,,,,,
VUK,0319-00-04B,"Chain Cover Left 180^ 84"" Short Flyboom",EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,577,0,,,,,,
VUK,0319-00-07B,"Chain Cover Right 180^ 92"" Long Flyboom",EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,705.92,0,,,,,,
VUK,0330-00-01,Cover,EA,EA,18,18,3926909790,P,A,0,Count,FALSE,FALSE,Other,389.87,0,,,,,,
VUK,037660,"Holder, Inline Fuse (Pack Of 5)",EA,EA,21,21,8431390000,P,A,0,Count,FALSE,FALSE,Other,3.54,0,,,,,,
VUK,0385-00-04,Boom Head Cover,EA,EA,18,18,8536501110,P,A,0,Count,FALSE,FALSE,Other,98.23,0,,,,,,
VUK,0406-10-06,"Bush,Under Vehicle Outriggers Iveco 65C1",EA,EA,37,37,8431390000,P,A,0,Count,FALSE,FALSE,Other,99.53,0,,,,,,
VUK,0406-10-11,"Bush,Under Vehicle Outriggers Iveco 65C1",EA,EA,85,85,8431390000,P,A,0,Count,FALSE,FALSE,Other,56.72,0,,,,,,
VUK,04-10210-00-06,Raincover,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,53.69,0,,,,,,
VUK,0413-00-01,Plastic Plate For Land Rover Cage,EA,EA,9,9,8431390000,P,A,0,Count,FALSE,FALSE,Other,43.82,0,,,,,,
VUK,0430-00-02,Pin For Cylinder Rod End,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,102.26,0,,,,,,
VUK,0430-00-03,Spacer For Extension Cylinder,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,99.7,0,,,,,,
VUK,0430-001,"Hinge, Coach",EA,EA,35,35,8431390000,P,A,0,Count,FALSE,FALSE,Other,19.53,0,,,,,,
VUK,0430-02-01,Pin For Cylinder Base End,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,147,0,,,,,,
VUK,0430-03-01,Pin,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,123.3,0,,,,,,
VUK,0430-05-01,Outrigger Bolt,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,73.37,0,,,,,,
VUK,0432-00-01,"Decal, Max Load 250 Kg L/Rover",EA,EA,9,9,8431390000,P,A,0,Count,FALSE,FALSE,Other,11.21,0,,,,,,
