Month,JobNo,CustPONo,CustomerID,Customer,OrderDate,RequestDate,NeedByDate,Shipping,Model,LiftSerialNo,LiftRecd,LiftWIP,VehicleType,ChassisNo,ChassisRecd,ChassisWIP,Supply,,SalesLineValue,WorkOrderNo,StockIssued,,Installation,Lift,Vehicle,WIP,NewServiceCall,NewJob,OpCode,OpCode2
April,19029,Graham email 10.01.19 ,CUST1166,Highway Hire No3,2019/02/28,2019/04/23,2019/04/30,Collect,VTL-135-F,TBA,No,No,Ford Transit Euro 6,WFOXTTGXJM57903,Yes,No,VDL Stk,,49705,10284,No,,INS VTL-135-F,VTL-135-F-S,VDL2000-053,0,0,,,
April,19030,Graham email 10.01.19 ,CUST1166,Highway Hire No4,2019/02/28,2019/04/23,2019/04/30,Collect,VTL-135-F,TBA,No,No,Ford Transit Euro 6,WFOXTTGXJM54873,Yes,No,VDL Stk,,49705,10285,No,,INS VTL-135-F,VTL-135-F-S,VDL2000-053,0,0,,,
April,17978,PO-1019,CUST1062,Sparkx Ltd,2019/02/28,2019/04/23,2019/04/30,Collect,VTL-145- F,TBA,No,No,Merc Sprinter 3.5T,WDB9076332P063000,Yes,No,FI,,33905,No,No,,INS VTL-145-F,VTL-145-F-S,VDL2000-079,0,0,,,
April,17979,PO-1019,CUST1062,Sparkx Ltd,2019/02/28,2019/04/23,2019/04/30,,VTL-145- F,TBA,No,No,Merc Sprinter 3.5T,WDB9076332P063001,Yes,No,FI,,33905,No,No,,INS VTL-145-F,VTL-145-F-S,VDL2000-079,0,0,,,
April,13958,2/00276666,CUST1327,Balloo Hire No4,2019/02/28,2019/04/23,2019/04/30,,LAT-38-135-H,DK- LAT-160026,Yes,Yes,Toyota Hilux E5 used ,AHTDR22G605537524,Yes,No,FI,,17500,10000,Yes,,INS LAT-38-135-H E5,LAT-38-135-H E5 (Toyota),VDL2000-087,26907,0,,,
April,17986,4150,CUST802,Northern Ireland Electricity - Isuzu D-Max E6 No1,2019/02/28,2019/04/23,2019/04/30,,LAT-38-135-H,TBA,No,No,Isuzu D-Max Euro 6,MPATFS87JJT010631,No,No,VDL Stk,,56414,No,No,,INS LAT-38-135-H E6 DMAX,LAT-38-135-H E6 (Isuzu),VDL2000-064,0,0,,,
April,17987,4153,CUST802,Northern Ireland Electricity - Isuzu D-Max E6 No2,2019/02/28,2019/04/23,2019/04/30,,LAT-38-135-H,TBA,No,No,Isuzu D-Max Euro 6,MPATFS87JJT010636,No,No,VDL Stk,,56414,No,No,,INS LAT-38-135-H E6 DMAX,LAT-38-135-H E6 (Isuzu),VDL2000-064,0,0,,,
April,17988,4154,CUST802,Northern Ireland Electricity - Isuzu D-Max E6 No3,2019/02/28,2019/04/23,2019/04/30,,LAT-38-135-H,TBA,No,No,Isuzu D-Max Euro 6,MPATFS87JJT010635,No,No,VDL Stk,,56414,No,No,,INS LAT-38-135-H E6 DMAX,LAT-38-135-H E6 (Isuzu),VDL2000-064,0,0,,,
April,17989,4155,CUST802,Northern Ireland Electricity - Isuzu D-Max E6 No4,2019/02/28,2019/04/23,2019/04/30,,LAT-38-135-H,TBA,No,No,Isuzu D-Max Euro 6,MPATFS87JJT010634,No,No,VDL Stk,,56414,No,No,,INS LAT-38-135-H E6 DMAX,LAT-38-135-H E6 (Isuzu),VDL2000-064,0,0,,,
April,19031,S7/477568,CUST1094,Days Motor Group No1,2019/02/28,2019/04/23,2019/04/30,,VTL-135-F,TBA,No,No,Ford Transit Euro 6,WFOXXXTTGXJG85016,Yes,No,FI,,28705,10268,No,,INS VTL-135-F,VTL-135-F-S,VDL2000-064,0,0,,,
April,19032,S7/477568,CUST1094,Days Motor Group No2,2019/02/28,2019/04/23,2019/04/30,,VTL-135-F,TBA,No,No,Ford Transit Euro 6,WFOXXXTTGXJG85057,Yes,No,FI,,28705,10270,No,,INS VTL-135-F,VTL-135-F-S,VDL2000-072,0,0,,,
April,17629,2295,CUST1405,Johnson Control No1 (Bristol Street Motors),2019/02/28,2019/04/23,2019/04/30,,ETL36-F E6,VB180027,Yes,Yes,Ford Transit Euro 6,WFOXXXTTGXKC369975,No,No,FI,,28420,10226,No,,INS ETL36-F E6,ETL36-F E6,VDL2000-072,10011,0,,,
April,17630,6079,CUST1405,Johnson Control No2 (Bristol Street Motors),2019/02/28,2019/04/23,2019/04/30,,ETL36-F E6,VB180028,Yes,Yes,Ford Transit Euro 6,FORD NO A2761,No,No,FI,,28420,10227,No,,INS ETL36-F E6,ETL36-F E6,VDL2000-072,10011,0,,,
May,17573,472179,CUST1224,Scottish Power No10,2019/02/28,2019/05/24,2019/05/31,,VOE36MHi,TBA,Yes,Yes,U530,WDB4052222V253930,No,No,FI,,115565,09436/05907/09831/10069/10163,No,,INS VOE36MHi,VOE36MHi,VDL2000-086,37078,0,,,
May,17902,P989320-423918,CUST71,Western Power No1,2019/02/28,2019/05/24,2019/05/31,,VTL-145-F,TBA,No,No,Iveco 50C15 E6,ZCFC150B905273104,Yes,No,FI,,39037,No,No,,INS VTL-145-F,VTL-145-F-D,VDL2000-073,0,0,,,
May,17903,P989318-423919,CUST71,Western Power No2,2019/02/28,2019/05/24,2019/05/31,,VTL-145-F,TBA,No,No,Iveco 50C15 E6,ZCFC150B705273411,Yes,No,FI,,39037,No,No,,INS VTL-145-F,VTL-145-F-D,VDL2000-073,0,0,,,
May,17905,P989315-423923,CUST71,Western Power No4,2019/02/28,2019/05/24,2019/05/31,,VTL-145-F,TBA,No,No,Iveco 50C15 E6,ZCFC150B205273980,Yes,No,FI,,39037,No,No,,INS VTL-145-F,VTL-145-F-D,VDL2000-073,0,0,,,
May,17904,P989318-423919,CUST71,Western Power No3,2019/02/28,2019/05/24,2019/05/31,,VTL-145-F,TBA,No,No,Iveco 50C15 E6,ZCFC150B005273699,Yes,No,FI,,39037,No,No,,INS VTL-145-F,VTL-145-F-D,VDL2000-073,0,0,,,
May,17906,P989315-423923,CUST71,Western Power No5,2019/02/28,2019/05/24,2019/05/31,,VTL-145-F,TBA,No,No,Iveco 50C15 E6,ZCFC150B105274280,Yes,No,FI,,39037,No,No,,INS VTL-145-F,VTL-145-F-D,VDL2000-073,0,0,,,
