Company,PartNum,PartDescription,ProdCode,IUM,PUM,ClassID,TypeCode,CostMethod,BuyToOrder,UOMClassID,PhantomBOM,NonStock,Type_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-11046-20-01-67,Turret LW weld,1203,EA,EA,1200,M,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-11046-20-02,Pedestal main plate,1202,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-11046-20-03,Right reinforcement,1202,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-11046-20-04,Left reinforcement,1202,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-11046-20-05,Upper stiffener,1202,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-11046-20-06,Upper flange,1202,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-11046-20-07,Front plate,1202,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-11046-20-08,Rear stiffener,1202,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-11046-20-09,Front stiffener,1202,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-11046-20-10,Upper bushing reinforcement,1202,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-11046-20-11,Bushing reinforcement,1202,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-11046-20-12,Pedestal base plate,1202,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-11046-20-13,Slug,1201,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
